TCF4	pp	SMAD6
TCF4	pp	NFYC
TCF4	pp	ARNTL
TCF4	pp	HOXA9
TCF4	pp	TCF12
TCF4	pp	GABPB2
TCF4	pp	ELF1
TCF4	pp	EP300
TCF4	pp	TBP
TCF4	pp	ZHX1
TCF4	pp	FOSL2
TCF4	pp	TFAP4
TCF4	pp	ARNT
HNF4A	pp	EGR1
HNF4A	pp	E2F3
HNF4A	pp	MYB
HNF4A	pp	UBTF
HNF4A	pp	IRF2
HNF4A	pp	ZIC2
HNF4A	pp	GABPB2
HNF4A	pp	PATZ1
HNF4A	pp	EGR3
HNF4A	pp	ZHX1
HNF4A	pp	ZHX2
HNF4A	pp	GFI1
HNF4A	pp	ONECUT2
HNF4A	pp	SMAD7
HNF4A	pp	TFAP4
HNF4A	pp	SNAI3
TEF	pp	POU2F1
TEF	pp	SMAD6
TEF	pp	MEF2D
TEF	pp	MXD4
TEF	pp	POU6F1
TEF	pp	MYB
TEF	pp	NFATC1
TEF	pp	ADNP
TEF	pp	IRF2
TEF	pp	HMGB3
TEF	pp	ELF1
TEF	pp	RUNX1
TEF	pp	EGR3
TEF	pp	ZHX2
TEF	pp	HMGA1
TEF	pp	ID1
TEF	pp	MXI1
TEF	pp	LMO2
TEF	pp	TFAP4
TEF	pp	HAND2
TEF	pp	SMAD5
TEF	pp	ARID5B
TEF	pp	MLXIPL
NR2F2	pp	EGR1
NR2F2	pp	E2F3
NR2F2	pp	MYB
NR2F2	pp	UBTF
NR2F2	pp	IRF2
NR2F2	pp	GABPB2
NR2F2	pp	ZIC2
NR2F2	pp	PATZ1
NR2F2	pp	EGR3
NR2F2	pp	ZHX1
NR2F2	pp	ZHX2
NR2F2	pp	SMAD7
NR2F2	pp	GFI1
NR2F2	pp	ONECUT2
NR2F2	pp	TFAP4
NR2F2	pp	SNAI3
NR2F1	pp	EGR1
NR2F1	pp	E2F3
NR2F1	pp	MYB
NR2F1	pp	UBTF
NR2F1	pp	IRF2
NR2F1	pp	ZIC2
NR2F1	pp	GABPB2
NR2F1	pp	PATZ1
NR2F1	pp	EGR3
NR2F1	pp	ZHX1
NR2F1	pp	ZHX2
NR2F1	pp	GFI1
NR2F1	pp	ONECUT2
NR2F1	pp	TFAP4
NR2F1	pp	SMAD7
NR2F1	pp	SNAI3
FOXN1	pp	UBTF
FOXN1	pp	HMGB3
FOXN1	pp	TEAD1
FOXN1	pp	TCF4
FOXN1	pp	JUN
FOXN1	pp	ZHX2
FOXN1	pp	JUNB
FOXN1	pp	HMGA1
FOXN1	pp	NFATC3
FOXN1	pp	CREB1
FOXN1	pp	RBPJ
FOXN1	pp	RELA
FOXN1	pp	ZNF148
FOXN1	pp	ELF2
FOXN1	pp	NFKB1
FOXN1	pp	FOXO4
FOXN1	pp	SMARCA5
FOXN1	pp	RUNX3
HMX1	pp	GABPB2
HMX1	pp	RUNX1
HMX1	pp	TCF4
HMX1	pp	NR3C1
HMX1	pp	ZHX2
HMX1	pp	JUN
HMX1	pp	HMGA1
HMX1	pp	CREB1
HMX1	pp	TFAP4
HMX1	pp	ONECUT2
HMX1	pp	BHLHB2
HMX1	pp	POU3F1
HMX1	pp	ELF2
HMX1	pp	NFKB1
TCF7L2	pp	POU2F1
TCF7L2	pp	SMAD6
